Local time,Ask,Bid,AskVolume,BidVolume
08.10.2022 00:00:43.717 GMT+0800,142.047,142.033,1.2,1.92
08.10.2022 00:00:44.011 GMT+0800,142.047,142.033,1.2,1.92
08.10.2022 00:00:44.114 GMT+0800,142.047,142.033,1.2,1.92
08.10.2022 00:00:44.215 GMT+0800,142.047,142.034,1.2,1.2
08.10.2022 00:00:44.317 GMT+0800,142.048,142.035,1.94,1.2
08.10.2022 00:00:44.368 GMT+0800,142.047,142.034,1.2,1.2
08.10.2022 00:00:44.470 GMT+0800,142.047,142.033,1.94,2.22
08.10.2022 00:00:44.572 GMT+0800,142.04600000000002,142.032,1.2,1.98
08.10.2022 00:00:44.997 GMT+0800,142.04500000000002,142.032,1.2,1.8
08.10.2022 00:00:45.099 GMT+0800,142.041,142.028,1.2,1.2
08.10.2022 00:00:45.353 GMT+0800,142.041,142.03,1.8,1.2
08.10.2022 00:00:45.404 GMT+0800,142.039,142.02700000000002,1.2,1.2
08.10.2022 00:00:45.506 GMT+0800,142.037,142.02700000000002,1.2,1.2
08.10.2022 00:00:45.608 GMT+0800,142.036,142.02700000000002,1.2,1.2
08.10.2022 00:00:45.962 GMT+0800,142.037,142.026,1.2,1.2
08.10.2022 00:00:46.013 GMT+0800,142.036,142.025,1.2,1.2
08.10.2022 00:00:46.115 GMT+0800,142.036,142.025,1.2,1.2
08.10.2022 00:00:46.317 GMT+0800,142.035,142.025,1.2,1.2
08.10.2022 00:00:47.343 GMT+0800,142.032,142.02200000000002,1.8,2.7
08.10.2022 00:00:47.394 GMT+0800,142.033,142.02200000000002,1.2,2.7
08.10.2022 00:00:47.445 GMT+0800,142.033,142.019,1.2,1.34
08.10.2022 00:00:47.547 GMT+0800,142.031,142.01700000000002,1.94,1.2
08.10.2022 00:00:47.648 GMT+0800,142.032,142.01500000000001,1.94,1.44
08.10.2022 00:00:47.800 GMT+0800,142.03,142.01500000000001,1.2,2.06
08.10.2022 00:00:47.902 GMT+0800,142.03,142.01700000000002,1.2,1.44
08.10.2022 00:00:48.004 GMT+0800,142.031,142.01700000000002,1.8,2.04
08.10.2022 00:00:48.106 GMT+0800,142.029,142.01700000000002,1.2,1.2
08.10.2022 00:00:48.207 GMT+0800,142.03,142.01600000000002,1.2,1.2
08.10.2022 00:00:48.520 GMT+0800,142.028,142.01600000000002,1.2,1.2
08.10.2022 00:00:48.622 GMT+0800,142.035,142.02700000000002,1.2,3.14
08.10.2022 00:00:48.724 GMT+0800,142.039,142.02700000000002,1.94,1.2
08.10.2022 00:00:48.825 GMT+0800,142.037,142.024,1.2,3.6
08.10.2022 00:00:48.927 GMT+0800,142.036,142.02200000000002,1.2,1.8
08.10.2022 00:00:49.028 GMT+0800,142.035,142.023,1.8,1.2
08.10.2022 00:00:49.079 GMT+0800,142.034,142.02100000000002,1.2,2.34
08.10.2022 00:00:49.181 GMT+0800,142.031,142.019,1.92,1.8
08.10.2022 00:00:49.232 GMT+0800,142.03,142.01500000000001,1.94,1.88
08.10.2022 00:00:49.333 GMT+0800,142.03,142.01500000000001,1.94,1.88
08.10.2022 00:00:49.435 GMT+0800,142.031,142.01600000000002,1.94,1.2
08.10.2022 00:00:49.536 GMT+0800,142.031,142.018,1.34,1.2
08.10.2022 00:00:50.474 GMT+0800,142.026,142.01500000000001,1.2,3.3
08.10.2022 00:00:50.525 GMT+0800,142.023,142.01500000000001,1.2,3.3
08.10.2022 00:00:50.576 GMT+0800,142.023,142.01500000000001,1.2,1.32
08.10.2022 00:00:50.678 GMT+0800,142.026,142.013,1.2,2.04
08.10.2022 00:00:50.779 GMT+0800,142.029,142.013,6.9,2.94
08.10.2022 00:00:50.880 GMT+0800,142.026,142.014,1.2,1.32
08.10.2022 00:00:50.931 GMT+0800,142.029,142.01500000000001,3.3,1.2
08.10.2022 00:00:51.033 GMT+0800,142.029,142.012,1.2,1.92
08.10.2022 00:00:51.134 GMT+0800,142.029,142.014,3.74,1.2
08.10.2022 00:00:51.236 GMT+0800,142.029,142.01500000000001,2.4,1.92
08.10.2022 00:00:51.337 GMT+0800,142.03,142.01700000000002,2.24,1.2
08.10.2022 00:00:51.439 GMT+0800,142.031,142.018,1.34,1.2
08.10.2022 00:00:51.540 GMT+0800,142.031,142.01500000000001,1.8,1.92
08.10.2022 00:00:51.734 GMT+0800,142.03,142.01500000000001,1.8,1.32
